time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.303614387823686e-08,1.1606597881070463e-08,10.003830701242848,6.282792899502477,6.282939105632229,0.0,1.4448547324260385e-05,-1.5034149211929615e-05,0.1276835445131219,-0.024708124826427817,-0.013926863328604223,0.0,446.09593555115566,444.9575395924392,446.6753124028184,444.6562213772703
0.12000000000000001,1.2704916394368352e-05,-2.082645742131764e-05,10.023708852581004,6.280933416718682,6.282272014208502,0.0,0.0005159647619160442,-0.0009192271063551004,0.5348213371899138,-0.04812431650683042,-0.006021600363558708,0.0,524.9348788263527,525.4832076628293,526.4910723622294,524.8684799042255
0.18,6.67530133485638e-05,-0.00014146364965600297,10.061607434836857,6.277897438298265,6.281774615726498,0.0,0.001334772061987644,-0.0034442467833749706,0.7283599136989022,-0.05607519962034535,-0.013263913535022303,0.0,465.8820934866312,465.3156848928101,466.6345894501098,466.01208849658565
0.23999999999999996,0.00017983755859215457,-0.0004739157867332135,10.109079251855553,6.273949155173799,6.2813173476667785,0.0,0.0024988727121989136,-0.008001725355734646,0.8539456620258058,-0.10609525692310721,0.0017788964089588905,0.0,445.20146645848905,446.4305162007517,447.2470989678885,443.1506584843819
0.3,0.00036649483858225326,-0.001160524230593823,10.162482300746353,6.26753713038973,6.281166370265108,0.0,0.0037233379094604936,-0.015509936664666681,0.9260927428498764,-0.10845580170701748,-0.012903742235036857,0.0,429.2362456373473,427.9886086419763,428.9769809189352,428.7660306336728
0.36000000000000004,0.0006356197182934059,-0.0024487612755769955,10.221604876275556,6.260912557447659,6.280551411608911,0.0,0.005319541637400607,-0.028116933925097044,1.044546040700171,-0.11463115750167525,-0.005408595079123243,0.0,443.1306362403334,443.74637649864934,444.08675771926966,443.56915693909013
0.4200000000000001,0.001004927065839727,-0.0045733963802107175,10.285198121189515,6.253837354719058,6.280086381814918,0.0,0.007026419553110444,-0.04334266451804121,1.0751840687396947,-0.1254698058924507,-0.01290235837187453,0.0,416.08496359438715,415.4285746430173,415.7142964688976,414.7499189288893
0.48000000000000015,0.0014901088388330139,-0.0077760811852856816,10.351630123271292,6.2459591184529035,6.279087264256098,0.0,0.0092305773272969,-0.06415260240634671,1.139129464694126,-0.1467197094585156,-0.02546601580674326,0.0,427.4248041139729,426.3529109101761,427.2202928512254,425.38771818536856
0.5400000000000001,0.0021331554091058944,-0.012423555896626992,10.422858795698609,6.236685240233964,6.278198325225487,0.0,0.012320683260116122,-0.09166713912755949,1.235022158514627,-0.1788056299472273,0.0007546906777061626,0.0,436.2815255932305,438.465107357884,438.148325658464,435.4487714248557
0.6000000000000002,0.0029790815990514623,-0.018961010193570816,10.50069062956228,6.226361991653668,6.278118841366689,0.0,0.015877561711279582,-0.1273498162252968,1.3591746758820276,-0.16116229153056855,-0.005847119277660667,0.0,446.5356689361455,445.99687666682496,445.64462934420897,447.055738111751
0.6600000000000003,0.004040893919661843,-0.0278474599423164,10.585803929394324,6.216474415545806,6.277483036220023,0.0,0.019564775315287303,-0.16987977075419108,1.4777236072769568,-0.17326338425699922,-0.022371335430420147,0.0,445.26440415685005,443.91074333636925,445.9079874176491,444.892401685544
0.7200000000000003,0.00532686758463626,-0.039331885054750555,10.675601185384755,6.205536685321508,6.276140177068601,0.0,0.0234255427108328,-0.21390780117174532,1.515394129607867,-0.2144580462676706,-0.022400291594015992,0.0,419.2410299350975,419.2384550007896,421.36896277199617,417.7563266729001
0.7800000000000004,0.0068852962380466405,-0.053855276934948265,10.769919406052283,6.19257999676717,6.275597035837176,0.0,0.028610533956495637,-0.27153461197251333,1.6282727409493039,-0.2190915798115616,0.009279718553853507,0.0,443.1934842611183,445.78953024693254,443.74744529505733,443.3207328644755
0.8400000000000004,0.008784405815363713,-0.07241195781038144,10.87421979585235,6.179200522109788,6.275860777653328,0.0,0.03463824247009211,-0.34857672088729813,1.8479126702956847,-0.23220756509051182,-0.007805627544835325,0.0,478.0880491199083,476.7845517107828,477.0866982254924,476.03840273162695
0.9000000000000005,0.011051227151761914,-0.0960384036530621,10.992777668593533,6.165098852604613,6.275655849083124,0.0,0.040959864325055044,-0.44067580820814917,2.103368200143382,-0.24135316819912858,0.0041701788935916044,0.0,487.41561318236836,488.30979975370406,489.3571513594175,488.6262635318948
0.9600000000000005,0.013662846694227605,-0.1249774119535667,11.121898092621972,6.150828693182728,6.276667158881541,0.0,0.04602012324867017,-0.5253945078919228,2.2002582702269082,-0.23160649310261386,0.034538915669879,0.0,440.78583712217755,443.2882764571327,441.6245221865107,442.3708222593228
1.0200000000000005,0.016560246465239212,-0.15949350535192763,11.258281616389741,6.136944725366384,6.278871671620291,0.0,0.05032287114533553,-0.6266120271676573,2.345329499400242,-0.23098938880699507,0.04081824999183919,0.0,457.23026044330635,457.7308061561154,458.34450763586534,458.3420462603222
1.0800000000000005,0.019656270962765347,-0.20006089732932547,11.401136239419351,6.123019190512336,6.281786203244151,0.0,0.05260887240834931,-0.7269690662179993,2.416096283760045,-0.23438983410958514,0.060768796729880156,0.0,435.49182209823783,437.15879810540196,435.1430825902001,434.8033986164705
1.1400000000000006,0.022827931867369172,-0.2471288861610882,11.549422213944553,6.109030310655015,0.0024172567381448573,0.0,0.05272077115783212,-0.8433754819851107,2.5262347497737574,-0.23077783300700835,0.06874743823921427,0.0,448.9344697483122,449.58426287167913,448.82986029523454,449.0693703710175
